"Month","Auckland","Bay of Plenty","Canterbury","Gisborne","Hawke's Bay","Manawatu-Wanganui","Marlborough","National Total","Nelson","Northland","Otago","Southland","Taranaki","Tasman","Waikato","Wellington","West Coast"
2005-06-01,5915,1210,2064,119,517,797,168,16781,228,483,809,311,369,128,1670,1922,70
2005-07-01,4638,918,1673,137,379,711,137,13279,163,403,556,239,349,111,1231,1577,57
2005-08-01,5419,1063,1924,116,453,759,131,15173,197,483,738,305,329,107,1374,1687,87
2005-09-01,5050,1032,1629,115,398,774,114,14175,200,435,683,281,322,102,1287,1668,85
2005-10-01,4762,962,1805,100,375,701,118,13415,217,372,731,226,278,104,1147,1470,46
2005-11-01,4310,870,1609,88,379,723,91,12442,145,377,666,236,259,68,1154,1427,39
2005-12-01,5123,926,1845,118,435,768,118,14309,192,373,770,253,291,111,1287,1621,78
2006-01-01,4508,814,1664,86,366,599,113,12993,166,331,806,219,287,68,1270,1632,62
2006-02-01,4790,787,2109,95,382,828,114,14633,149,328,894,300,308,82,1278,2122,67
2006-03-01,5916,992,2278,112,443,874,97,17046,200,392,1304,320,316,101,1603,2051,47
2006-04-01,4986,958,1752,105,366,730,115,14044,191,392,830,247,318,81,1260,1626,86
2006-05-01,4812,953,1741,102,401,603,125,13650,203,386,682,286,322,106,1277,1587,63
2006-06-01,5260,1051,1828,117,443,738,138,15570,196,423,751,257,358,101,1360,2478,71
2006-07-01,4672,1033,1725,99,446,674,103,13469,199,376,622,220,332,100,1277,1507,83
2006-08-01,6278,1175,2105,129,540,805,144,17453,253,490,940,353,360,124,1630,2035,90
2006-09-01,3608,722,1313,79,266,467,104,10042,145,320,561,157,233,84,940,997,46
2006-10-01,4083,829,1498,61,345,561,93,11405,175,319,603,239,237,78,1048,1180,54
2006-11-01,6029,1125,2076,124,566,899,140,17128,218,464,1081,312,368,105,1585,1933,103
2006-12-01,2939,568,1132,68,214,522,86,8439,105,243,411,172,167,56,787,935,34
2007-01-01,6469,1146,2626,117,571,886,158,18686,248,508,1314,338,399,158,1681,1979,87
2007-02-01,3965,772,1563,71,340,581,65,12037,134,304,719,246,267,77,1114,1756,63
2007-03-01,5954,960,2426,117,432,840,136,17598,179,391,1545,351,291,81,1566,2265,63
2007-04-01,4825,904,1655,68,402,606,116,13613,168,355,805,254,322,100,1340,1621,72
2007-05-01,5378,1092,1988,112,464,759,150,15545,177,446,866,270,293,104,1492,1859,94
2007-06-01,4624,934,1695,115,348,668,137,13196,173,398,675,264,349,72,1260,1410,73
2007-07-01,7090,1386,2624,169,597,1057,203,20244,249,582,985,404,513,132,1974,2197,81
2007-08-01,5164,1068,1888,120,386,722,125,15565,193,441,850,280,369,86,1549,2231,93
2007-09-01,4310,808,1586,75,368,545,113,12262,173,388,628,261,274,92,1119,1454,68
2007-10-01,4140,828,1454,73,373,692,93,11871,106,336,624,245,308,58,1146,1335,60
2007-11-01,5236,994,1949,115,449,796,126,15186,198,437,910,301,328,90,1442,1740,74
2007-12-01,4566,922,1775,90,404,787,145,13457,194,375,787,258,292,83,1235,1485,58
2008-01-01,4911,923,1971,101,431,701,125,14583,167,381,1051,304,332,72,1350,1694,68
2008-02-01,4071,665,1834,87,331,730,98,12816,117,361,819,244,278,77,1337,1712,55
2008-03-01,4950,984,2061,93,361,743,111,14883,152,385,1164,290,215,72,1319,1902,81
2008-04-01,7008,1345,2731,161,587,987,188,20372,250,561,1125,373,451,121,1848,2542,93
2008-05-01,4560,980,1765,115,385,701,132,14177,205,439,731,224,295,99,1339,2151,56
2008-06-01,5132,1095,1953,124,507,692,140,15310,227,503,766,313,395,104,1586,1707,66
2008-07-01,5035,1068,1786,127,462,820,134,14629,202,434,693,263,351,112,1411,1644,87
2008-08-01,4708,825,1702,128,419,698,121,13411,180,422,679,238,331,111,1268,1515,66
2008-09-01,5198,1233,2144,155,412,710,140,15379,219,523,822,286,339,100,1413,1610,74
2008-10-01,5352,1098,1846,115,482,774,147,15355,194,510,943,297,357,86,1437,1621,96
2008-11-01,4420,969,1730,101,399,758,129,13406,169,402,807,244,318,65,1311,1518,66
2008-12-01,4784,943,2047,80,443,844,172,14545,170,440,857,273,298,92,1342,1667,92
2009-01-01,4344,844,1645,120,379,637,110,12609,166,341,790,241,298,72,1191,1361,69
2009-02-01,4322,890,2243,94,403,739,112,14302,164,395,995,265,265,93,1355,1888,77
2009-03-01,6648,1168,2856,136,527,1000,183,20311,239,517,1406,353,341,79,1923,2851,83
2009-04-01,5117,1055,1971,104,468,873,151,15273,197,449,908,245,325,89,1451,1784,86
2009-05-01,7062,1542,2896,163,607,1052,190,21066,301,597,1101,423,478,173,2038,2331,110
2009-06-01,4644,906,1863,123,451,698,154,13774,193,425,737,260,328,113,1279,1532,68
2009-07-01,5376,1204,2041,131,502,796,163,15860,219,522,840,312,392,126,1477,1680,77
2009-08-01,5524,1078,1916,105,498,827,122,15815,214,496,830,286,370,105,1558,1798,88
2009-09-01,4486,946,1784,121,387,671,145,13130,174,425,696,266,305,87,1283,1287,65
2009-10-01,5067,1022,1866,117,479,862,139,14757,195,413,739,296,374,108,1394,1604,82
2009-11-01,3906,912,1638,81,412,612,134,12148,153,407,831,238,261,74,1194,1248,47
2009-12-01,4559,890,1874,124,439,834,113,13846,203,427,821,227,324,100,1340,1505,66
2010-01-01,3991,840,1604,106,359,658,154,12380,173,355,978,216,303,83,1114,1390,56
2010-02-01,4367,807,1937,77,337,693,94,13277,115,296,857,238,299,46,1331,1714,68
2010-03-01,7091,1306,3290,143,588,1076,179,22781,226,574,1654,454,388,138,2109,3448,116
2010-04-01,5242,1008,2029,122,430,781,142,15420,179,528,868,281,313,99,1438,1894,66
2010-05-01,4690,982,2049,130,486,737,152,14696,238,467,820,317,350,85,1425,1699,68
2010-06-01,4426,933,1766,98,395,687,121,13418,207,415,726,304,334,96,1296,1528,86
2010-07-01,5098,1066,2019,133,464,750,151,15098,179,437,884,293,367,121,1357,1713,65
2010-08-01,5194,1105,1802,124,521,846,168,15682,206,468,934,323,370,115,1549,1855,101
2010-09-01,5199,1140,1890,123,500,808,180,15703,195,520,933,290,392,108,1536,1791,97
2010-10-01,4724,959,2210,85,439,813,149,14551,172,429,834,298,291,105,1315,1639,88
2010-11-01,4811,1004,2034,123,507,785,134,14995,188,459,910,269,402,105,1445,1743,76
2010-12-01,4646,899,1874,104,418,737,145,13986,210,469,818,264,306,114,1264,1634,83
2011-01-01,3744,806,1441,76,325,576,90,11597,164,327,905,205,250,67,1193,1347,81
2011-02-01,4125,725,2080,108,362,737,103,14167,210,376,907,347,299,68,1248,2407,65
2011-03-01,6789,1298,2723,152,549,921,217,21160,213,592,1314,361,462,115,2199,3139,116
2011-04-01,4072,830,2174,89,349,635,138,13434,171,425,802,282,278,69,1297,1729,93
2011-05-01,4758,1102,2637,130,488,735,186,16030,248,475,864,264,460,110,1481,2012,80
2011-06-01,4422,988,1814,106,428,690,143,13733,202,479,716,282,324,149,1361,1568,61
2011-07-01,4859,1109,1900,150,493,729,144,14810,192,429,837,246,355,94,1495,1706,71
2011-08-01,5634,1206,2219,154,591,998,160,17503,238,559,833,363,450,123,1771,2102,101
2011-09-01,4691,1135,1984,108,497,826,162,15139,225,500,889,318,348,110,1565,1677,103
2011-10-01,3507,880,1481,96,388,634,134,11615,202,423,715,239,306,93,1138,1308,71
2011-11-01,4213,864,1650,92,418,770,131,13283,212,432,936,220,323,91,1301,1548,81
2011-12-01,3621,717,1318,97,316,597,96,10806,124,362,649,213,246,72,1053,1246,79
2012-01-01,4420,888,1675,96,434,696,135,13607,196,443,1135,206,321,94,1395,1408,65
2012-02-01,4537,887,1801,90,385,715,148,14626,170,343,1039,286,314,81,1370,2382,78
2012-03-01,5359,1048,2097,137,448,807,172,17591,233,490,1258,331,328,112,1627,3056,88
2012-04-01,5867,1231,2145,125,546,968,158,17678,243,558,927,270,391,114,1717,2337,81
2012-05-01,5013,1182,1875,129,478,774,162,15558,271,513,876,276,370,122,1532,1908,76
2012-06-01,4012,824,1356,95,357,550,121,11888,150,384,662,230,302,95,1228,1428,92
2012-07-01,5672,1262,1915,161,556,900,190,17196,275,524,945,342,397,129,1766,2069,92
2012-08-01,5646,1372,1852,162,538,851,156,16728,252,551,826,301,400,112,1708,1898,103
2012-09-01,4379,914,1482,111,424,635,144,12841,231,460,698,198,314,98,1212,1488,53
2012-10-01,4838,1001,1623,123,406,723,140,14248,222,485,851,281,343,119,1433,1546,114
2012-11-01,4500,939,1429,119,460,738,140,13747,252,478,878,241,356,94,1344,1714,65
2012-12-01,2906,628,1078,69,232,501,103,8759,142,278,608,153,203,59,806,930,63
